title,description,location.longitude,location.latitude,details,used
גמלא,"העיר העתיקה גמלא, שהתפרסמה בעמידתה מול הרומים בתקופת המרד הגדול. בעיר נחשף בית כנסת הנחשב לבית הכנסת קדום ביותר בתחומי ארץ ישראל.",35.74595,32.90617,https://goo.gl/maps/z8AqR2wjWrjCKP576,false
קיסריה,"גן לאומי עתיקות קיסריה מציג רצף תרבויות של 2,500 שנות היסטוריה, ולכן הוא אתר בעל חשיבות לאומית ובין-לאומית.",34.89091,32.5035,https://goo.gl/maps/6JcHXGZUbtujuNvB6,false
עבדת,"ההסטוריה, המורשת, הטבע אתר מורשת עולמית – בלב המדבר על גבעה גבוהה מעל ערוץ נחל צין יצבות חורבותיה המרשימות של עיר נבטית עתיקה.",34.77342,30.79439,https://goo.gl/maps/yaKjjVredU5hvv8R9,false
מגדל דוד,"מצודה מימי הביניים באתר של ביצורים שחלקם נבנו לפני כ-2,000 שנה, ומוזיאון לתולדות ירושלים.",35.22802,31.77611,https://g.page/towerofdavid?share,false
מצדה,"מצדה המעוז האחרון של לוחמי חירות יהודיים מול הצבא הרומי, מסמלת את אחריתה של ממלכת יהודה בסוף ימי בית שני ואת חורבנה האלים. על במת ההר שרידי ארמונות פאר מתקופתו של המלך הורדוס ועדות אילמת למצור הרומי והסוף המר. ההר שהפך לסמל.",35.35395258,31.31562753,https://goo.gl/maps/3VVkbHPC6SXGH2Er7,false
ראש הנקרה,"רכבל שמרחף מעל צוק תלול, מאבן גיר לבנה, מוביל לנקרות עם מים בגווני טורקיז.",35.10455,33.09279,https://goo.gl/maps/nCGbZuGmzidQTN398,false
מכתש רמון,"המכתש הוא חלק משמורות הטבע מצוק הצינים והר הנגב ומעליו מתנשא מרכז המבקרים מכתש רמון המציע חוויה המשלבת בין סיפור חייו של האסטרונאוט הישראלי הראשון אל""מ אילן רמון, להיכרות עם המכתש הגדול בעולם ועם תופעות הטבע הייחודיות שבו.",34.806822,30.608157,https://goo.gl/maps/k67N2J1h59KMinSY7,false
תל שבע,"שרידיה של עיר מקראית ואתר מורשת עולמית שנוסדה בשנת 4,000 לפני הספירה, הכוללים ארמון, מזבח ושער.",34.840768,31.245006,https://goo.gl/maps/3a4VftdVGAivAeXKA,false
אנדרטת חטיבת הנגב,"אנדרטה הניצבת על ראש גבעה לזכרם של הקורבנות ממלחמת העצמאות ב-1948, עם מגדל, תעלות וצורות מפותלות מבטון.",34.820528,31.266681,https://goo.gl/maps/cufWfVS5fgNoEgEk6,false
כיכר רבין,"כיכר ציבורית גדולה ופופולרית עם אתר זיכרון, שבה מתקיימים אירועים גדולים, עצרות, חגיגות ומצעדים.",34.780444,32.080307,https://goo.gl/maps/DXXDRzfoMGLJoWSHA,false
הר הרצל,"הר הרצל הינו אתר לאומי מרכזי של מדינת ישראל והעם היהודי, בו מתקיים מדי שנה הטקס הממלכתי של הדלקת המשואות, אשר בו מכריז יו""ר הכנסת על סיומו של יום הזיכרון ופתיחת חגיגות יום העצמאות. ",35.18062,31.77416,https://goo.gl/maps/FanSGq3rGHUaiVz67,false
,,,,,
,,,,,
,,,,,
,,,,,
